id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_destroyed,houses_destroyed_description,houses_damaged,houses_damaged_description,total_deaths,total_deaths_description,total_missing,total_missing_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description,total_houses_destroyed,total_houses_destroyed_description,total_houses_damaged,total_houses_damaged_description
5810,Tsu,2004,11,11,21.0,26.0,41.1,10.0,7.5,7.5,7.3,6.5,,,,,INDONESIA,,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,60,34.0,1.0,,,400.0,3.0,,3.0,781.0,3.0,16712.0,4.0,34.0,1.0,,,400.0,3.0,,3.0,781.0,3.0,16712.0,4.0
7444,,2006,12,17,21.0,39.0,17.4,30.0,5.8,5.8,5.8,5.5,,,,,INDONESIA,,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",0.626,99.859,60,7.0,1.0,,,100.0,2.0,,3.0,680.0,3.0,,,7.0,1.0,,,100.0,2.0,,3.0,680.0,2.0,,
7481,,2007,3,6,3.0,49.0,38.9,19.0,6.4,6.4,6.4,5.9,,,,8.0,INDONESIA,,INDONESIA:  SUMATRA:  SOUTHERN,-0.493,100.498,60,67.0,2.0,,,826.0,3.0,,3.0,43719.0,4.0,43719.0,4.0,67.0,2.0,,,826.0,3.0,,3.0,43719.0,4.0,,
7574,Tsu,2007,9,12,11.0,10.0,26.8,34.0,8.4,8.4,8.5,6.9,,,,,INDONESIA,,INDONESIA:  SUMATRA,-4.438,101.367,60,25.0,1.0,,,161.0,3.0,,3.0,56425.0,4.0,56425.0,4.0,25.0,1.0,,,161.0,3.0,,3.0,56425.0,4.0,,
8191,Tsu,2008,11,16,17.0,2.0,32.7,30.0,7.3,7.3,7.0,6.5,,,,,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA,1.271,122.091,170,6.0,1.0,,,77.0,2.0,,3.0,,,1000.0,3.0,6.0,1.0,,,77.0,2.0,,3.0,,,1000.0,3.0
8204,Tsu,2009,1,3,19.0,43.0,50.6,17.0,7.6,7.6,7.5,6.6,,,,,INDONESIA,,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.414,132.885,170,5.0,1.0,,,250.0,3.0,,3.0,,,840.0,3.0,5.0,1.0,,,250.0,3.0,,3.0,,,840.0,3.0
8386,,2009,9,2,7.0,55.0,1.0,46.0,7.0,7.0,7.0,6.8,,,,,INDONESIA,,INDONESIA:  JAVA,-7.782,107.297,60,81.0,2.0,,,1297.0,3.0,,3.0,,,,,81.0,2.0,,,1297.0,3.0,,3.0,,,54000.0,4.0
8552,,2009,10,1,1.0,52.0,27.3,10.0,6.6,6.6,6.7,5.9,,,,,INDONESIA,,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,-2.515,101.501,60,3.0,1.0,,,,,10.0,3.0,,3.0,,3.0,3.0,1.0,,,,,10.0,3.0,,3.0,,
9292,,2010,6,16,3.0,16.0,27.5,18.0,7.0,7.0,7.1,6.7,,,,6.0,INDONESIA,,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,170,17.0,1.0,,,,,,3.0,2556.0,4.0,,,17.0,1.0,,,,,,3.0,2556.0,4.0,,
10006,,2013,6,22,5.0,42.0,39.8,47.0,5.1,5.1,,5.1,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.305,116.058,60,,,,,50.0,1.0,,3.0,5370.0,3.0,1700.0,4.0,,,,,50.0,1.0,,3.0,5370.0,4.0,1700.0,4.0
